
150	143	154	463
170	348	161	415
170	369	161	436
157	97	161	453
153	118	162	443
171	371	162	544
167	97	162	570
170	360	162	583
157	370	166	424
175	330	166	556
175	338	168	412
160	367	169	613
164	118	173	442
165	328	173	451
168	64	177	422
169	105	178	414
238	337	244	792
257	343	250	795
264	344	258	796
279	123	286	631
279	128	287	589
280	118	289	669
281	113	290	585
284	109	293	584
286	108	293	673
296	108	304	655
298	130	307	662
303	109	309	605
310	110	318	641
311	202	319	620
313	156	321	617
314	129	323	646
326	328	328	782
324	110	333	645
335	329	334	585
329	188	336	629
330	129	336	644
330	172	337	633
330	201	338	636
332	110	338	642
337	200	346	604
340	186	346	657
342	200	347	613
343	110	348	617
343	129	349	656
344	139	350	626
344	185	351	629
346	145	351	655
347	150	352	633
347	184	353	637
348	154	354	640
348	199	354	778
349	130	355	651
351	166	360	605
353	175	362	772
356	199	364	771
357	130	365	615
360	111	365	621
360	131	367	645
360	198	367	663
362	197	369	770
382	209	378	773
435	325	432	792
431	327	439	788
437	324	445	784
440	322	449	781
442	304	451	780
446	348	455	777
450	342	459	794
453	338	462	790
454	287	463	772
455	311	464	787
457	351	465	771
472	171	466	784
470	194	467	673
477	165	468	663
460	328	468	668
477	184	468	769
461	307	468	781
470	200	469	647
461	326	469	655
477	190	470	768
478	177	470	778
477	199	472	646
479	171	473	766
475	178	473	774
471	180	474	641
484	196	475	652
484	183	475	665
484	200	475	673
485	165	476	684
469	315	478	796
473	300	481	674
475	299	484	791
478	303	487	789
488	350	497	781
500	331	509	779
